filename,objectid,side,angle,confidence,method
Fotos/1-58.Francia/004.pdf,7bbb2cb6-7218-4cd6-b208-81e09ddbc68d,back,270,1.0,manual
Fotos/1-58.Francia/005.pdf,c6506d57-2811-45f8-abc4-a124d28cfb46,back,270,1.0,manual
Fotos/1-58.Francia/006.pdf,e8d9454b-0dbe-498c-8c99-cff3aadaef03,back,270,1.0,manual
Fotos/1-58.Francia/007.pdf,fd5bb40a-f675-45a0-896e-fbbb19a1d028,back,270,1.0,manual
Fotos/1-58.Francia/008.pdf,d4b0c5e3-bfaa-46a8-b53b-39095cafb8ad,back,90,1.0,manual
Fotos/1-58.Francia/009.pdf,fdfe9021-f74c-4167-bc3a-0685227ea796,back,270,1.0,manual
Fotos/1-58.Francia/010.pdf,bc57c2a9-386b-4b31-be57-1febdfc573dd,back,270,1.0,manual
Fotos/1-58.Francia/011.pdf,33c7f8b8-69a8-486d-9ece-097091bae6b7,back,270,1.0,manual
Fotos/1-58.Francia/012.pdf,41ee130e-210a-4393-90bb-7538d93d5581,back,270,1.0,manual
Fotos/1-58.Francia/013.pdf,570e252d-5bbe-42c3-9060-9e62d05bd51b,back,270,1.0,manual
Fotos/1-58.Francia/014.pdf,9a00740e-ab3d-49fd-aa18-5eddf17f6e7d,back,270,1.0,manual
Fotos/1-58.Francia/015.pdf,530db670-6065-47d5-b57c-606bafc18097,back,90,1.0,manual
Fotos/1-58.Francia/016.pdf,3818f806-955e-425c-99de-0e5b5aa8f9bd,back,270,1.0,manual
Fotos/1-58.Francia/017.pdf,b6e88d14-75a2-4b41-bb37-a1dd5c942141,back,270,1.0,manual
Fotos/1-58.Francia/018.pdf,eda2a282-f9d7-4d6f-9c04-fc54ecb5c6fa,back,270,1.0,manual
Fotos/1-58.Francia/019.pdf,2d385e3e-e94a-4bfe-bccd-0ce948f092f6,back,270,1.0,manual
Fotos/1-58.Francia/020.pdf,9d77649c-886d-4f6e-9e0c-cc09387d26d0,back,270,1.0,manual
Fotos/1-58.Francia/021.pdf,53173df1-25b3-4a8b-b0a0-b316ab37691a,back,270,1.0,manual
Fotos/1-58.Francia/022.pdf,ea616731-ca56-434c-834b-112f9e2065c9,back,270,1.0,manual
Fotos/1-58.Francia/023.pdf,b1219aed-9126-442a-a874-2116ad2e4b6c,back,270,1.0,manual
Fotos/1-58.Francia/024.pdf,efdd7b75-9410-49e1-8407-74399bdb57ad,back,270,1.0,manual
