objectid,title,filename,object_location,format,latitude,longitude,date,subject,location,description,source,language,descripction,artifacts_location,swap_front_back,rotation_front,rotation_back
7cd64801-75f9-4453-a4c0-16e883d4f973,Fotografía de la Plaza de la Señoría,024.pdf,/ARCHIVO/024.pdf,pdf,43.769722222222,11.255555555556,,Plaza ,"Plaza de la Señoría, Florencia Italia",Arcos en la Plaza de la Señora con estuatillas.,Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/024-front.jpg', 'artifacts/Coleccion-MC/024-back.jpg']",False,,
b2a82bc1-9ae3-4186-a479-67f6916fc5d1,Fotografía del mar de Nápoles,025.pdf,/ARCHIVO/025.pdf,pdf,43.76802545,11.2531580028995,,Mar de Nápoles,"Ponte Vecchio, Florencia, Italia",Panorama del mar de Nápoles con una balsa en medio del mar con la ciudad atrás.,Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/025-front.jpg', 'artifacts/Coleccion-MC/025-back.jpg']",False,,270.0
d3469fbf-652b-4213-b5ef-dcd31fee0249,Pintura de la fachada de la Catedral Santa María del Fiore,026.pdf,/ARCHIVO/026.pdf,pdf,43.773055555556,11.256944444444,,Catedral ,,Catedral con personas y caballos a su alrededor.,Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/026-back.jpg', 'artifacts/Coleccion-MC/026-front.jpg']",True,,
9e953996-48a8-471e-843d-6bb5761e9823,Fotografía interior del Palazzo di Parte Guelfa,027.pdf,ARCHIVO/027.pdf,pdf,43.7695,11.2536,,Palacio,"Palazzetto di Parte Guelfa, Florencia, Italia",,Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/027-back.jpg', 'artifacts/Coleccion-MC/027-front.jpg']",False,,270.0
b3ea8dd7-9c9b-4ed1-b9ce-a363edd88139,Fotografía del Puente Vecchio,028.pdf,/ARCHIVO/028.pdf,pdf,43.767989,11.253192,,Puente ,,Vista debajo del Puente Vecchio con personas en góndolas sobre el agua.,Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/028-front.jpg', 'artifacts/Coleccion-MC/028-back.jpg']",True,270.0,
d0468e01-9fec-47db-ac50-f42b22155e4c,Fotografía de la Iglesia de S. M. Novella,029.pdf,/ARCHIVO/029.pdf,pdf,43.7732,11.2493,,Iglesia ,,Iglesia de S. M. Novella de frente con estructuras a su alrededor.,Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/029-front.jpg', 'artifacts/Coleccion-MC/029-back.jpg']",True,270.0,
729d39ef-cb69-4cc4-a94b-af520b9f7522,Fotografía del Palacio Pretorio,030.pdf,/ARCHIVO/030.pdf,pdf,,,,Palacio,,"Vista periferica del Palacio Pretorio desde abajo, tiene una estructura cuadrada.",Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/030-front.jpg', 'artifacts/Coleccion-MC/030-back.jpg']",False,,
3afddf6f-12ff-4e4f-9cc5-03f41bf56a07,"Pintura Padua, Italia",031.pdf,/ARCHIVO/031.pdf,pdf,45.406388888889,11.877777777778,,Calle,"Padova, Italia, Padua",Via 8 de febrero,Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/031-front.jpg', 'artifacts/Coleccion-MC/031-back.jpg']",True,270.0,270.0
8487d66f-3b70-45de-bafd-f90b77927c25,Autoretrato de Elizabeth Le Brun,032.pdf,/ARCHIVO/032.pdf,pdf,,,1790.0,Personaje,Italia,Autoretrato de Elizabeth Le Brun,Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/032-front.jpg', 'artifacts/Coleccion-MC/032-back.jpg']",False,,270.0
1210387d-f04f-4ae5-b4ec-c4d784be87db,Baptisterio de Florencia,033.pdf,/ARCHIVO/033.pdf,pdf,43.77301461865487,11.255918750075224,,"Arquitectura, Renacimiento","Florencia, Italia","La Puerta del Paraíso (Porta del Paradiso, en italiano) es el nombre con el que se conoce popularmente a la puerta este del Baptisterio de Florencia. Se encuentra ubicada frente a la catedral de Santa María del Fiore.",Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/033-front.jpg', 'artifacts/Coleccion-MC/033-back.jpg']",False,,270.0
b1e23454-5780-430b-8f87-8658fa2374b5,El baptisterio restaurado,034.pdf,/ARCHIVO/034.pdf,pdf,43.77301461865488,11.255918750075224,,"Arquitectura, Renacimiento","Florencia, Italia",El baptisterio restaurado y revestido de mármol por arnolfo di Cambio,Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/034-back.jpg', 'artifacts/Coleccion-MC/034-front.jpg']",True,90.0,270.0
3e6807e1-4f91-4ca5-b6f0-857d64b77c29,Pintura Papa Pio XI,035.pdf,/ARCHIVO/035.pdf,pdf,41.90213475818899,12.454387310939907,1924.0,Religion,Vaticano,"El Papa Pio XI golpeando la puerta santa en San Pedro antes de abrir, el 24 de diciembre de 1924",Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/035-back.jpg', 'artifacts/Coleccion-MC/035-front.jpg']",False,,270.0
334009df-b8f8-496b-9f17-86df8749bd40,Pintura Papa,036.pdf,/ARCHIVO/036.pdf,pdf,41.902134758189,12.45438731093991,,Religion,Vaticano,Su santidad en las tinajas vaticanas postal,Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/036-back.jpg', 'artifacts/Coleccion-MC/036-front.jpg']",False,270.0,270.0
